id,title,likes,dislikes,like/dislikes_ratio,difficulty
1658,Minimum Operations to Reduce X to Zero,1222,21,58.19047619047619,Medium
1482,Minimum Number of Days to Make m Bouquets,1219,28,43.535714285714285,Medium
686,Repeated String Match,1211,874,1.3855835240274599,Medium
491,Increasing Subsequences,1207,145,8.324137931034484,Medium
939,Minimum Area Rectangle,1201,196,6.127551020408164,Medium
419,Battleships in a Board,1191,673,1.7696879643387815,Medium
1376,Time Needed to Inform All Employees,1189,81,14.679012345679013,Medium
524,Longest Word in Dictionary through Deleting,1183,317,3.7318611987381702,Medium
508,Most Frequent Subtree Sum,1167,185,6.308108108108108,Medium
1171,Remove Zero Sum Consecutive Nodes from Linked List,1145,64,17.890625,Medium
990,Satisfiability of Equality Equations,1140,13,87.6923076923077,Medium
299,Bulls and Cows,1138,1178,0.966044142614601,Medium
846,Hand of Straights,1135,104,10.913461538461538,Medium
529,Minesweeper,1129,755,1.495364238410596,Medium
453,Minimum Moves to Equal Array Elements,1129,1417,0.7967537050105857,Medium
1202,Smallest String With Swaps,1128,38,29.68421052631579,Medium
1146,Snapshot Array,1128,193,5.844559585492228,Medium
720,Longest Word in Dictionary,1127,1204,0.936046511627907,Medium
957,Prison Cells After N Days,1123,1414,0.7942008486562943,Medium
462,Minimum Moves to Equal Array Elements II,1122,63,17.80952380952381,Medium
870,Advantage Shuffle,1120,70,16.0,Medium
475,Heaters,1114,984,1.1321138211382114,Medium
1161,Maximum Level Sum of a Binary Tree,1102,49,22.489795918367346,Medium
623,Add One Row to Tree,1089,168,6.482142857142857,Medium
276,Paint Fence,1088,343,3.17201166180758,Medium
633,Sum of Square Numbers,1088,438,2.4840182648401825,Medium
1140,Stone Game II,1085,234,4.636752136752137,Medium
1367,Linked List in Binary Tree,1077,39,27.615384615384617,Medium
1721,Swapping Nodes in a Linked List,1072,61,17.57377049180328,Medium
1060,Missing Element in Sorted Array,1067,44,24.25,Medium
1325,Delete Leaves With a Given Value,1063,22,48.31818181818182,Medium
880,Decoded String at Index,1050,172,6.104651162790698,Medium
